Compact-ID: "0006597" WaferID(Filename): "210913_K4_1" Date: "19.12.2021" Touchdowns: " 3" Current(mA): "50" Nr_of_Points: "342" Comment: "" HTTS: "2"
X,Y,R1,R2,R3
-6250.00000000,6750.00000000,1.12957466,1.13943601,1.13776803
-1750.00000000,6750.00000000,1.11380577,1.13105655,1.11238563
2750.00000000,6750.00000000,1.10648012,1.10138011,1.10836148
7250.00000000,6750.00000000,0.97812527,1.11900234,1.11262667
11750.00000000,6750.00000000,0.99911249,1.07929301,1.07921886
16250.00000000,6750.00000000,1.07249308,1.05390143,1.05171931
20750.00000000,6750.00000000,1.06802619,1.04306293,1.02747595
25250.00000000,6750.00000000,0.99216986,0.99357873,0.99374992
29750.00000000,6750.00000000,0.96597004,0.96455693,0.96519685
34250.00000000,6750.00000000,0.93234617,0.93311644,0.93375927
38750.00000000,6750.00000000,0.91280019,0.91789401,0.90375245
-10750.00000000,11250.00000000,1.08654261,1.08683944,1.08870363
-6250.00000000,11250.00000000,1.04841375,1.10432732,1.09071410
-1750.00000000,11250.00000000,1.09414101,1.10672927,1.10591483
2750.00000000,11250.00000000,1.05024850,1.09983504,1.10149264
7250.00000000,11250.00000000,1.08190393,1.09736013,1.08737230
11750.00000000,11250.00000000,1.08760464,1.08368564,1.08329809
16250.00000000,11250.00000000,0.94689029,1.04302394,1.05729890
20750.00000000,11250.00000000,1.00287259,1.01394975,1.01285112
25250.00000000,11250.00000000,0.98245555,0.98937005,0.98975569
29750.00000000,11250.00000000,0.95954359,0.95988697,0.95918298
34250.00000000,11250.00000000,0.92453140,0.92667675,0.92676240
38750.00000000,11250.00000000,0.89132345,0.89163589,0.89206743
43250.00000000,11250.00000000,0.87071550,0.85876948,0.85934150
-15250.00000000,15750.00000000,1.10226929,1.10180271,1.09993052
-10750.00000000,15750.00000000,1.08629525,1.10140955,1.09362125
-6250.00000000,15750.00000000,1.08173656,1.10667157,1.08106375
-1750.00000000,15750.00000000,1.09839201,1.09963536,1.11283040
2750.00000000,15750.00000000,1.10462260,1.11207879,1.10059154
7250.00000000,15750.00000000,1.08768713,1.08540845,1.09963667
11750.00000000,15750.00000000,0.92080998,1.06392169,1.06859899
16250.00000000,15750.00000000,1.06670785,0.95135134,1.04506767
20750.00000000,15750.00000000,1.01259637,0.95881128,0.99431646
25250.00000000,15750.00000000,0.99030930,0.98636329,0.98109090
29750.00000000,15750.00000000,0.91679668,0.97010708,0.96025771
34250.00000000,15750.00000000,0.98976082,0.92905164,0.93089002
38750.00000000,15750.00000000,1.01526141,0.90537739,0.90318060
43250.00000000,15750.00000000,0.75197190,0.86322570,0.85085553
47750.00000000,15750.00000000,0.82786435,0.82729411,0.82825959
-19750.00000000,20250.00000000,1.29521334,1.30985868,1.30291808
-15250.00000000,20250.00000000,1.08489907,1.08895552,1.08883262
-10750.00000000,20250.00000000,1.09333360,1.09111214,1.08918738
-6250.00000000,20250.00000000,1.08184695,1.09463882,1.09660387
-1750.00000000,20250.00000000,1.09674132,1.09421504,1.09682238
2750.00000000,20250.00000000,1.09975946,1.05286849,1.09705591
7250.00000000,20250.00000000,1.06278753,1.09740210,1.09113503
11750.00000000,20250.00000000,1.05897462,1.07329249,1.07394934
16250.00000000,20250.00000000,1.03660762,1.03727591,1.04455709
20750.00000000,20250.00000000,1.00607669,1.00774586,1.00702333
25250.00000000,20250.00000000,0.98795551,0.99214894,0.98329771
29750.00000000,20250.00000000,0.94734633,0.95089030,0.94744211
34250.00000000,20250.00000000,0.91206682,0.91687286,0.91198397
38750.00000000,20250.00000000,0.91037667,0.86238724,0.87807608
43250.00000000,20250.00000000,0.84436393,0.84278631,0.84216106
47750.00000000,20250.00000000,0.81391239,0.81077182,0.81153029
52250.00000000,20250.00000000,0.05007950,0.77328223,0.78027189
-24250.00000000,24750.00000000,2.69975948,2.77356529,2.80009484
-19750.00000000,24750.00000000,1.17813265,1.17589974,1.17891192
-15250.00000000,24750.00000000,1.07289243,1.07149529,1.06465161
-10750.00000000,24750.00000000,1.07813764,1.09376907,1.07258725
-6250.00000000,24750.00000000,1.06195641,1.07694256,1.07737172
-1750.00000000,24750.00000000,1.10783935,1.11033154,1.11647797
2750.00000000,24750.00000000,1.05645204,1.10911047,1.11435318
7250.00000000,24750.00000000,1.09196723,1.15507829,1.04135847
11750.00000000,24750.00000000,1.08313918,1.07454145,1.03566480
16250.00000000,24750.00000000,1.06276858,1.02498114,1.01511931
20750.00000000,24750.00000000,0.99474949,1.01273310,1.10088050
25250.00000000,24750.00000000,0.94538260,0.94387966,1.32406354
29750.00000000,24750.00000000,0.95511854,0.93986917,0.94143128
34250.00000000,24750.00000000,0.79755229,0.98639452,0.91315424
38750.00000000,24750.00000000,0.87877995,0.87886965,0.87853438
43250.00000000,24750.00000000,0.84603888,0.84719533,0.84615153
47750.00000000,24750.00000000,0.58691853,0.77342314,0.80392689
52250.00000000,24750.00000000,-0.26263204,0.75909144,0.77800363
56750.00000000,24750.00000000,-0.12869529,0.26738164,0.79880160
-24250.00000000,29250.00000000,2.23693252,2.38347030,2.24558210
-19750.00000000,29250.00000000,1.14576340,1.16189325,1.16184962
